Complexity,Loss,Equation
1,0.0001689131131911352,"-0.04218007267811629"
3,4.047618212835802e-5,"v_phi * -9.029195567098515e-7"
4,4.217697505613195e-10,"square(v_phi) * -1.802751845702978e-11"
6,3.582354140685658e-10,"(square(v_phi) ^ 0.9993833120043613) * -1.827056427923754e-11"
8,3.391936379850023e-10,"square(v_phi) * ((v_theta * -1.4397858038208287e-14) - 1.8028735050136617e-11)"
9,3.3782947964152414e-10,"square(v_phi) * ((sin(v_theta) * -1.4397858038208287e-14) - 1.8028735050136617e-11)"
10,2.3103497727443555e-10,"(square(v_phi) - ((1.0571932537675053 ^ v_phi) ^ 0.03417125840086686)) * -1.8030164077312632e-11"
11,2.3092864159078628e-10,"(square(v_phi) - ((1.0571932537675053 ^ v_phi) ^ tan(0.03417125840086686))) * -1.8030164077312632e-11"
12,2.3007891146918795e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ 0.03417125840086686) + v_r)) * -1.8030164077312632e-11"
13,2.2997257579483558e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ tan(0.03417125840086686)) + v_r)) * -1.8030164077312632e-11"
14,2.2954613170986099e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ 0.03417125840086686) + (v_r * theta))) * -1.8030164077312632e-11"
15,2.1820476491921155e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ square(0.18481874202699985)) + (v_r / 0.054488553819206545))) * -1.8030164077312632e-11"
16,2.1791504304704866e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ square(0.18481874202699985)) + (v_r / square(0.2292673072216775)))) * -1.8030164077312632e-11"
17,2.148568378579396e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ square(0.18481874202699985)) + ((v_r / 0.01834169847065978) / theta))) * -1.8030164077312632e-11"
18,2.1473709327073903e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ tan(square(0.18481874202699985))) + ((v_r / 0.01834169847065978) / theta))) * -1.8030164077312632e-11"
19,2.1429665327455626e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ square(0.18481874202699985)) + (((v_r * 0.6437652021123669) / 0.01834169847065978) + v_phi))) * -1.8030164077312632e-11"
20,2.1423482280880363e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ tan(square(0.18481874202699985))) + (((v_r * 0.6437652021123669) / 0.01834169847065978) + v_phi))) * -1.8030164077312632e-11"
21,2.1300179160217058e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ square(0.18481874202699985)) + (((v_r * 0.6437652021123669) / 0.01834169847065978) + (v_phi * phi)))) * -1.8030164077312632e-11"
22,2.126321505293683e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ square(0.18481874202699985)) + (((v_r * sin(0.6437652021123669)) / 0.01834169847065978) + (v_phi * phi)))) * -1.8030164077312632e-11"
23,2.123770962082624e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ square(0.18481874202699985)) + (((v_r * square(tan(-0.6271549444214578))) / 0.01834169847065978) + (v_phi * phi)))) * -1.8030164077312632e-11"
24,2.1234341695363783e-10,"(square(v_phi) - (((1.0571932537675053 ^ v_phi) ^ tan(square(0.18481874202699985))) + ((((v_r / 1.261727576630521) * 0.6437652021123669) / 0.01834169847065978) + (v_phi * phi)))) * -1.8030164077312632e-11"
25,2.1160969300349895e-10,"((square(v_phi) - (((((cos(-0.4588007388137162) * v_phi) * theta) ^ cube(tan(1.4332882063596213))) - (v_r / square(-0.13049093589791577))) * -0.6038472090471738)) + sqrt(r)) * -1.8027518002182245e-11"
26,2.1081645944582743e-10,"((square(v_phi) - (((((cos(-0.4588007388137162) * v_phi) * theta) ^ cube(tan(1.4332882063596213))) - (v_r / square(-0.13049093589791577))) * sin(-0.6038472090471738))) + sqrt(r)) * -1.802731059886411e-11"
27,2.107980147001272e-10,"((square(v_phi) - (((((cos(-0.4588007388137162) * v_phi) * theta) ^ cube(tan(1.4332882063596213))) - (v_r / square(sin(-0.13049093589791577)))) * sin(-0.6038472090471738))) + sqrt(r)) * -1.802731059886411e-11"
28,2.1073102756185893e-10,"((square(v_phi) - (((((cos(-0.4588007388137162) * v_phi) * theta) ^ cube(tan(1.4332882063596213))) - (v_r / square(-0.13049093589791577))) * sin(-0.6038472090471738))) + (sqrt(r) - v_r)) * -1.802731059886411e-11"
29,2.1069757006256925e-10,"((square(v_phi) - (((((cos(-0.4588007388137162) * v_phi) * theta) ^ cube(tan(1.4332882063596213))) - (v_r / (square(-0.13049093589791577) / tan(0.8600787416903188)))) * sin(-0.6038472090471738))) + sqrt(r)) * -1.802731059886411e-11"
30,2.099632937990612e-10,"((square(v_phi) - (((((cos(-0.4588007388137162) * v_phi) * theta) ^ cube(tan(1.4332882063596213))) - (v_r / square(0.1356780401210023))) * sin(-0.6038472090471738))) + (sqrt(r) - (v_phi * phi))) * -1.8027518002182245e-11"
